heading,link
ZING Oral Care Ltd,https://www.asa.org.uk/rulings/zing-oral-care-ltd-a23-1199892-zing-oral-care-ltd.html
Emma Matratzen GmbH t/a Emma Mattress,https://www.asa.org.uk/rulings/emma-matratzen-gmbh-g23-1199782-emma-matratzen-gmbh.html
Geekvape Electronic Cigarettes (UK) Ltd,https://www.asa.org.uk/rulings/geekvape-electronic-cigarettes--uk--ltd-a23-1205195-geekvape-electronic-cigarettes--uk--ltd.html
Indiralaxmi Vignesh Ltd t/a Hale Clinic,https://www.asa.org.uk/rulings/indiralaxmi-vignesh-ltd-a23-1199222-indiralaxmi-vignesh-ltd.html
NUMA Ltd,https://www.asa.org.uk/rulings/numa-ltd-a23-1199218-numa-limited.html
TJC & BLC Aesthetics Clinic & Training Academy,https://www.asa.org.uk/rulings/tjc---blc-aesthetics-clinic---training-academy-a23-1198894-tjc--blc-aesthetics-clinic-training-academy.html
Vaporesso,https://www.asa.org.uk/rulings/vaporesso-a23-1205197-vaporesso.html
Voopoo International Inc,https://www.asa.org.uk/rulings/voopoo-international-inc-a23-1205198-voopoo-international-inc.html
Chengyi Daily Department Store t/a Shop1102829235 Store,https://www.asa.org.uk/rulings/chengyi-daily-department-store-a23-1207923-chengyi-daily-department-store.html
Daniels Vapes t/a danielsvapes1,https://www.asa.org.uk/rulings/daniels-vapes-a23-1207692-daniels-vapes.html
Dr Rani Ltd t/a Daily Chemist,https://www.asa.org.uk/rulings/dr-rani-ltd-a23-1198508-dr-rani-ltd.html
Essential Sounds Hearing,https://www.asa.org.uk/rulings/essential-sounds-hearing-a23-1197770-esh-hearing.html
Petfre (Gibraltar) Ltd t/a Betfred,https://www.asa.org.uk/rulings/petfre--gibraltar--ltd-a23-1197806-petfre--gibraltar--ltd.html
Shenzhen Guangming District Kangshuo E-Commerce Firm t/a Health Support Store,https://www.asa.org.uk/rulings/shenzhen-guangming-district-kangshuo-e-commerce-firm-a23-1207922-shenzhen-guangming-district-kangshuo-e-commerce-firm.html
THG Nutrition Limited t/a My Protein,https://www.asa.org.uk/rulings/thg-nutrition-limited-a23-1198333-thg-nutrition-limited.html
TheGreatEvape Ltd,https://www.asa.org.uk/rulings/thegreatevape-ltd-a23-1207694-thegreatevape-ltd.html
Whaleco UK Ltd t/a Temu,https://www.asa.org.uk/rulings/whaleco-uk-ltd-g23-1202845-whaleco-uk-ltd.html
Hurtigruten UK Ltd t/a Hurtigruten,https://www.asa.org.uk/rulings/hurtigruten-uk-ltd-a23-1202064-hurtigruten-ltd.html
Royal Caribbean Cruises Ltd t/a Royal Caribbean International,https://www.asa.org.uk/rulings/royal-caribbean-cruises-ltd-a23-1198946-royal-caribbean-cruises-ltd.html
Bonne Terre Ltd t/a Sky Bet,https://www.asa.org.uk/rulings/bonne-terre-ltd-a23-1189938-bonne-terre-ltd.html
Codeway Dijital Hizmetler Anonim Sirketi t/a Codeway,https://www.asa.org.uk/rulings/codeway-dijital-hizmetler-anonim-sirketi-a23-1197999-codeway-dijital-hizmetler-anonim-sirketi.html
HMK V AG t/a Windsor Mint,https://www.asa.org.uk/rulings/hmk-v-ag-a22-1178286-hmk-v-ag-1.html
Imiracle (HK) Ltd t/a Elfbar,https://www.asa.org.uk/rulings/imiracle--hk--ltd-a23-1196835-imiracle--hk--ltd.html
Nexusbird Inc t/a Motion,https://www.asa.org.uk/rulings/nexusbird-inc-a23-1197735-nexusbird-inc.html
Nissan Motor (GB) Ltd t/a Nissan Motor (GB) Ltd,https://www.asa.org.uk/rulings/nissan-motor--gb--ltd-g23-1206694-nissan-motor--gb--ltd.html
Repsol SA,https://www.asa.org.uk/rulings/repsol-sa-a23-1206254-repsol-sa.html
"Shop TJC Ltd t/a TJC, The Jewellery Channel Ltd",https://www.asa.org.uk/rulings/shop-tjc-ltd-a23-1196566-shop-tjc-ltd.html
ThruDark Ltd,https://www.asa.org.uk/rulings/thrudark-ltd-g23-1206049-thrudark-ltd.html
